userName,score,content,at,replyContent
Agung Dslow,2,game aneh buat setres orang ini yg buat game aneh gak kasian Ama anak kecil hp nya di banting karna main game ini kenapa bisa karena gini misal kita mau turun nah ini game kasih menang dan pas udah pul Bintangnya malah kalah kan kesel ulang dari awwal Dede,2026-01-05 21:51:47,
Ali Ali,1,"cape gw lose trek terus, game ga adil, dapet tim nya bapuk terus",2026-01-05 21:51:34,
Kona Dhot,1,saya mau legend moonton.kalo mau ngasih yang drak sistem nanti aja di mityc.dan kenapa setiap saya mau legend harus ada yang b90 gitu??,2026-01-05 21:51:23,
fadil gendut,1,cape banget main game ini,2026-01-05 21:50:58,
Arjunansyah,1,makin lama makin payah.... rank yg d pertemukan kadang tdak sesuai... solo ketemu parti...,2026-01-05 21:50:22,
M.Saiful ulum,1,isinya cuma dark system,2026-01-05 21:50:16,
Anton Wahyudi,5,sangat bagus. tapi sayang jaringan sering lag.,2026-01-05 21:49:13,
Dirga Wimantara,1,bisa ngga kalau main solo itu liat Liat statistik permainan statistik gua bgus malah dapat bocah laknat mulu,2026-01-05 21:48:55,"Halo Kak,
Kami mohon maaf atas pengalaman kurang menyenangkan yang terjadi.
Bisa bantu kami dengan mengirimkan screenshot atau detail lebih lanjut lewat CS in-game?
Ini sangat membantu kami memperbaiki permainan.
Terima kasih!

Tim MLBB"
DARA TRIYASMINA,1,"Wowww, ml kenapa sih dapet tim nya yang bot, dongo",2026-01-05 21:48:49,
Corat Coret,1,"Gak ada perubahan, sinyal in game parah.... Anehnya buat youtube aman2 aja, gak ada perubahan, tambah males main feeder jg makin banyak, pensiun gua main game ini, semakin banyak player ngetrol tambah yakin buat pensiun",2026-01-05 21:48:10,"Dear Hero, terima kasih, dukungan Anda kepada MLBB. Kami akan terus melakukan peningkatan pada game karena kami ingin menawarkan pengalaman gameplay terbaik untuk pemain.Mohon laporkan permasalahan kamu ke CS-InGame dengan menggunakan form yang sesuai dengan masalah kamu. Hormat kami -- GM Nana"
Ridho Nf,1,Game-Nya bagus jadi Aku kasih rating 5,2026-01-05 21:47:56,
Pradika Ayuwara,5,kenapa gak bisa masuk lewat fb?,2026-01-05 21:46:59,
Rohim Rohim,1,game tai,2026-01-05 21:46:20,
Anggi Fauji,5,moonton tolong tingkatin damage Granger kecil banget padahal udah pake sea healberd tapi gak tembus ke Hero tank jadi tolong taikin damage Granger atau taikin item item nya tolong banget,2026-01-05 21:45:55,
Ariya Marsha,1,game rusak,2026-01-05 21:45:29,
Gibran Alindra,5,bagus,2026-01-05 21:45:13,
Agusnar Ngl,5,seru,2026-01-05 21:44:42,
Devan Arya,1,orang main solo ketemu party Mulu anj,2026-01-05 21:43:25,
Zunet,3,game nya gua suka tapi ada ngeleg nya dan bagi skin moonton sia mah te mere mere skin Patrick dan Spongebob,2026-01-05 21:42:50,
Handika Saputra1,1,jelek,2026-01-05 21:42:11,
Nzjw Rch99,1,"stiap ikut event mau beli skin sistem tukar crest gk prnah hoki,selalu ampas,busuk,moonton kikir,sekali dua kali msih gkpp gk hoki,TPI INI UDH BERKALI KALI YAA!!!!MIKIRRR LAAA,YG KATANYA SISTEM GRANDCOLECCTOR LBIH MURAH,HOK CUH,DRIMNA MURAHNYA HA???ITU TERGANTUNG HOKI MASING MASING!!!BALIKIN SISTEM COLLECTOR KE AWALLL!!!",2026-01-05 21:42:06,
Tolong kaki Saya sakit,5,bagus,2026-01-05 21:41:52,
Joko Kevin,1,masa solo vs team ya kalah terus lah sistem t4i,2026-01-05 21:41:39,
Saropah,5,nice,2026-01-05 21:41:13,
Dimazh halle,1,kenapa saya kalah terus monton tolong lah ini KLH mulu cape juga main emng game GK guna,2026-01-05 21:41:05,
Rani Ci cikal,1,"benerin sistem muntun, masa dapet tim epic mulu, dislike",2026-01-05 21:40:31,
Gg_Nur,1,"macthmaking paling buruk dibandingkan MOBA lainnya, beliau mengira kita bisa gendong 4 orang makanya dikasih tim yang beda jauh baik rank maupun stat para pemain, contoh seperti saya bermain duo rank glory dan temen saya honor ex imo, bener ketemu honor tpi sisanya ada yang mytic Mawi dan legend dan itu ex nya kalah jauh dibanding musuhnya",2026-01-05 21:40:11,
jaa,1,"tolong di kondisikan tim nya, saya stuck di grading dapet nya tim komputer terus, kenapa harus ada computer/ bot?, game nya sepi kah?, tolong di kondisikan tim nya gaadil, musuh dapet nya tim bagus terus, TOLONG MOONTON DENGAR KAN DERITA PLAYER SOLOO, KASIH TIM YANG BAGUS",2026-01-05 21:39:50,
Gilang Dharmawan,1,makin hari kayak jahanam jk game kau nih,2026-01-05 21:39:07,
jami ilyasin,1,kalau bisa perbaiki jaringannya setiap main ngeleg Mulu kagak ada yang bagus jaringannya dan nggak ngestuck terus kalau pake wifi mau pensi dulu udah cape Ama jaringan nya terima kasih moonton atas pengertiannya,2026-01-05 21:38:41,"Halo Kak,
Kami mohon maaf atas pengalaman kurang menyenangkan yang terjadi.
Bisa bantu kami dengan mengirimkan screenshot atau detail lebih lanjut lewat CS in-game?
Ini sangat membantu kami memperbaiki permainan.
Terima kasih!

Tim MLBB"
Rizki Ryan Ramdhani,1,matchmaking nya bnerin.. main solo ktemu tim duo atau trio mulu.. mana mainnya gk bener.,2026-01-05 21:38:22,
Ahmadwahid Faiz,1,"game kikir kasih ls trs aja sampe gw stres lama"" gw hapus juga ni game mls main di kasih ls trus mmk",2026-01-05 21:38:10,
Elly damayanti pohan,5,game nya bagus tapi kok susah nya,2026-01-05 21:38:09,
Leonzend,3,ya game ini memang bagus sih tapi saat aku main kok jaringannya nggak bagus padahal jaringan saya 65ms tolong di perbaiki ya moonton😠😠😠😠😠😠😠😠😠😠😠😠,2026-01-05 21:36:48,
Azka Azka haikal rahman,1,gara gara lu montoon gw ketinggalan jauh sama temen gw. temen² gw dh pada legend gw masih epic. tolong memberi lawan yang seimbang gw kesel bangett sumpah... udh naik legend turun lagi ke epic. bukan 1 kali doang. tapi 6 kali turun epic terus. 😼😻😽😹😿😸😻😿😼🙀😼😿😹😿😹😻🙀😼🙀😼😾,2026-01-05 21:36:25,
Abidzar Ali Al-ghassani,1,"pahit wok, dapet tim penghuni asli tapi tim musuh ex imo 300+",2026-01-05 21:36:16,
Slow Awal,5,Kenapa saya sudah bind akun ke facebook tapi 5idak mendapatkan diamond ?,2026-01-05 21:35:37,
Gattan Arienda,1,GAME HARAM,2026-01-05 21:34:43,
Agung Saputra,2,"Tolong dong kalo udh dapet Lane masing masing di kunci Hero selain lane nya, terutama Roamer masa maen ketemu roam Layla, Mending Hero non Tank atau roam nya di kunci biar ga banyak orang yg ngine make Hero MM di jadiin roam",2026-01-05 21:34:06,
Excel Drys,1,tolong benarkan sistem mu moonton dalam matchmaking dan draft pick lebih baik dilakukan perubahan ban 20 dan yang main berupa 10 orang itu lebih efisien dan relaktif karena heronya juga banyak satu lagi coba bikin match sesuai dengan rank nya yang saat ini sesuai yang bikin room rank nya apaa yaudah lawan nya juga rank nya itu satu lagi benerin sistem lu terutama sistem jaringan skrg padahal jaringan oke paket data wifi oke tapi masih aja ngelag dan nge frame mau nya apaa mau player nya hilang,2026-01-05 21:34:00,
7K_21_ ILYAS RIZKYAN THOHARI,5,player nya gak mau kontribusi suka afk,2026-01-05 21:33:12,
Orlando,5,makasih moonton sudah memberikan tim dengan SDM tinggi saya sangat senang,2026-01-05 21:32:23,
ria arianti,1,"game cacat,klo jago di buat cacat sama sistemnya,damagenya di kurangin,klo g di kasi tim cacat,level 14 by1 level 9 kalah telak level 14,level 10 damagenya 130 kan tolol,banyak bgt cacatnya sampe g ketulis semua,biar nagih y.hahaha g jelas ini game perusak moral ini",2026-01-05 21:31:44,
Ronaldo Siuu,1,moonton bercandaa,2026-01-05 21:30:55,
Pandu Pamungkas,1,matchmakingnya gak seimbang,2026-01-05 21:30:03,
Kailzz KynzzX,5,Game Kikir!!!!!,2026-01-05 21:29:41,
Radit ya,1,ini pvp apa p v com?,2026-01-05 21:29:26,
Novi Artha,3,Game Sangat membuat saya pusing karena jika saya main solo kadang musuhnya Pro tetapi tim saya yg Dark system kadang jika solo kadang 2 jam masih sama bintang rank nya mohon moonton kasih tim yg bagus biar gamenya tambah rame,2026-01-05 21:29:08,
Nursiah Nur,5,mantap,2026-01-05 21:28:56,
KeViN,2,DEAR MOONTON! Perbaiki sistem matchmaking yang jelas! aku udh capek liat history kalah! aku udh main serius! PERBAIKI!!!!!,2026-01-05 21:28:50,
Sea Balqis,5,plisss game nya seru banget walau rank nya naik turun bikin darah tinggi tapi game ini ada kala nya penghilang stres ada juga kalanya pembuat stres tapi ini seru banget udah mah moonton nya ga plit ngasih skin gratis gratis intinya bagus bgtt harus download,2026-01-05 21:28:07,
Abang Dol,3,sering lag di tengah pertandingan,2026-01-05 21:27:33,
cah wonosobo singkir,2,maap maap ni monton setidak nya buat fitur yang buat hp ram kecil bisa main lah masa hp gua habis riset buat main aja susah jalan aja susah monton gerakin analog kayak bawa beras 1 ton gila,2026-01-05 21:27:19,
N Sem,5,oke banget mantap seru,2026-01-05 21:27:06,
C Ponsel,5,game yang sangat ramah sangat dianjurkan untuk dimainkan ank ank agar adap dan skil ank meningkat,2026-01-05 21:26:58,
fatirhizam Salahudin,1,banyak draksistem,2026-01-05 21:26:36,
Ramah Dayanti,5,sangat bagus,2026-01-05 21:26:15,
Andrian Permata,5,bgus,2026-01-05 21:26:03,
Wjay Anto,2,dikasih tim beban Mulu main solo ditabrak squad,2026-01-05 21:25:31,
surya forgame,1,"saran adakan fitur buat yang afk, kadang game yang ga bisa di pause itu jadi susah jika ada keadaan darurat, misalkan saya afk karena disuruh otomatis dimainin oleh bot, nah disitu sebelum saya afk seharusnya ada tombol afk sebentar, supaya gamenya tetap berjalan. ini fitur lumayan cocok untuk yang setiap hari selalu ada saja hal mendadak jadi ga perlu mikirin skor kredit",2026-01-05 21:24:40,
fatirai ahmad,5,sangat menghibur di saat pulang kerja,2026-01-05 21:24:38,
Lokasi,1,"masalah jaringan , baru aja beli Kouta pas main malah merah jaringan nya jadi tolong ya monton tolong di perbaiki masalah jaringan",2026-01-05 21:24:04,
My Melody,1,"EVENT MULU YANG DIBANYAKIN, MATCHING NOH BENERIN. NGURAS DUIT PALING LIHAI, BENERIN MATCHMAKING PALING ANJAY",2026-01-05 21:23:48,
smp2 babat,4,"game nya bagus dan seru tapi,jgn lah kasih drak sistem Mulu munnntunnnn🙃",2026-01-05 21:23:39,
Memet,5,"MANTAP,hp ku aja patah patah gara ini game sampai kenak ada tompel di hp. sekian dari saya saya ucapkan terimakasih",2026-01-05 21:22:48,
jagoan neon Gaming,5,permainan nya bagus dan sangat ramah saya baru saja naik ke glory lalu setelah naik ke glory di kasih losetrek 28× dan menang 2× ini game nya bikin stres tapi aku seneng dan ketawa ketawa sendiri gak jelas di kamer,2026-01-05 21:22:41,
Skayzo Xyz,5,gem rusak banyak ngeleg,2026-01-05 21:22:18,
abdillah Muhammad,1,"game ga jelas sistem ga jelas masa gw di kasih tim jelek giliran musuh bisa main sistemnya ga imbang, mohon di perbaiki",2026-01-05 21:21:38,
"Rifal : Hp,Tiktok,bljr",1,"game gajelah di kasih tim ngga adil, terus pas mau war tiba tiba lag sinyal",2026-01-05 21:21:30,
Rizal Alan Saputra,3,"game bikin stres ,minimal kalo di rank legend ke atas kasih tim yg sepadan lah moonton",2026-01-05 21:21:27,
Tiara Muis,1,"kebiasaan banget kalo ngerank jaringan nya kek anj lah moonton plis banget padahal gw make wifi terus juga Wifi-nya aslinya gk knp² tapi kenapa pas giliran ngerank jadi ngelag gitu, kalo lu PNGN rating nya gw naikin plis perbaiki lagi masalah jaringannya",2026-01-05 21:20:39,
iniasep 25,1,game gajelas tim nya kocak semua giliran musuhnya jago jago,2026-01-05 21:19:38,
Agus triynt,1,"game aneh, gak rekomen",2026-01-05 21:19:05,
Fikri Iki,5,"gem nya bagus ya gitu,tapi plis kasih lawan nya yang seimbang jangan pilih kasih monton,kadang ada tim yang oon tadi tim musuh jago jadi sussah buat maen nya",2026-01-05 21:18:37,
ƦЄƉ SkนlL,1,udah main ml paling bener main solo pensi aja game udah GK sehat,2026-01-05 21:17:45,"Halo Kak,
Kami mohon maaf atas pengalaman kurang menyenangkan yang terjadi.
Bisa bantu kami dengan mengirimkan screenshot atau detail lebih lanjut lewat CS in-game?
Ini sangat membantu kami memperbaiki permainan.
Terima kasih!

Tim MLBB"
Rivaldi Rivaldimaulanayusuf01,1,matching rusak,2026-01-05 21:16:51,
Jackie,1,Game sekelas PUBG aj yang notabene nya FPS bisa stabilin jaringan buat player yang ga ganggu dan ngaruh soal device ny lah ini moba burik plagiat yang region ny cuma asia tenggara aja ga becus nyetel jaringan eh ngaca dikit moba burik.... event boleh banyak seenggak nya system dasar lu beres rapi ga belepotan update banyak... system operasi ny gitu gitu aja lu kira jaringan stabil di semua daerah? goblok nih developer ny apalagi habis update tiba tiba bgt kek kontol jaringan ny,2026-01-05 21:16:45,
Feri Ant,1,game stres,2026-01-05 21:16:20,
Warso Upoyo,1,dikasi tim epik abadi tapi musuh mantan miytik kalah Mulu wr turun gak usah download stres,2026-01-05 21:16:14,
STOK EMEL SEKIN 202,1,kusus montol lu kalau ngasih tim yang bener dikit GK setara sama tim musuh GK adil ini ya kali main trio di kasih partiy ya kali main di kita di kasih tim baru main GK pecus main di kasih yang setara lah dan seadil adil nya biar makin banyak yang suka bukan bikin seneng bikin gila di bener rin lagi ya sistem nya,2026-01-05 21:15:58,
Sky Ling,3,jaringn jlekk ping gak stbil...ganti server bnerinn,2026-01-05 21:15:36,
Ihsan Alzikri,5,"halo mobile legend,saya sangat senang main game ini,karena game ini membuat stress ku hilang,dan dapat terus tim yang gacor,terima kasih moonton sudah buat game yang sehat ini😊😊😊😊😊😊😊",2026-01-05 21:15:29,
m syaiful haq,1,padahal jaringan bagus tpi malah ngelag,2026-01-05 21:15:29,
Afwan Rs,5,jos jiss pwolll,2026-01-05 21:14:30,
Emperor BRT,1,game bikin emosiii masa tim aku tololll semuaa timm musuh jagoo anjir ngakkk sepadan soloo ketemu party kann anjirr,2026-01-05 21:13:21,
Mohamadjefrii Jefrii,1,Bagus banget dapat tim GG ( Ga Guna) . percma Ga bklan naik bintang yg ada Naik darah . Mantap Game seru di tim lawan .tim sndri kya Orng binggung . dari kemarin smpe skrng ga bkin naik . bkin trun trs .,2026-01-05 21:12:42,
Valen Craft,1,kurangi dari sistem,2026-01-05 21:12:20,
Madrin Barca,1,gem banyak masalah nya analog tiba tiba gerak sendiri siyal tiba tiba jelek pilih kasih saat memberikan tim banyak drak sistem,2026-01-05 21:12:20,
Kolis Kolis,1,"game apa ini main ber jam jam ber hari hari. solo rank lose track kalah mulu. dapat tim kalo drak sistem terus, dan tier rank gak sepadan, cara bermain asal asalan .klo gak saat bermain jaringannya buruk terus, parah banget .. capek capek main menang sekali kalahnya 5X rusak",2026-01-05 21:12:12,
Moh Fikran,1,"nemu tim drak sistem, bukanya terhibur malah stres",2026-01-05 21:11:53,
Muhammad Fahmi Firmanda,1,"game buruk banget kalau ngasih 1 tim enggk lihat server, saya di server lama tapi dikasih tim server baru yng mainya enggk ada skil sama sekali,",2026-01-05 21:10:51,
Fadlan Batubara,1,"kalo bisa setengah aja bintangnya, lu tau gua mati matian jadi roam anak dajjal tiba tiba banget punya kawan kayak tai malas banget gua, mana pas mau naek rank dapat musuh jago temen goblok cape gua cokkkkkkkkk, kalian kalo maen nih game setuju ga kalo kita gebukin moonton pas tidur!!!!!!!!!!!!!!!!!!!!!",2026-01-05 21:09:48,
Rio Mawaldi,1,"Congratulations,moonton mendapatkan penghargaan game dengan macthing ter buruk dalam game moba. Sebenarnya Dark sistem itu tidak ada,ketika lu terus terusan kalah itu memang sudah diatur sama moonton(ada orang dibelakang macthing). Pasti para solo player pernah ngerasa tim tidak seimbang,itu bukan dark sistem melainkan settingan moonton",2026-01-05 21:09:11,
Alir Alira,5,sangat seru banget,2026-01-05 21:08:26,
Desy Anggrainy,1,game ini sangat membuat saya semakin gilaaaa,2026-01-05 21:08:19,
Ayu Mila,1,saya tidak perna menang biar ssekali,2026-01-05 21:08:17,
Rehan Rehan,2,dapat tim gak ada yang bener,2026-01-05 21:07:52,
Abil Farhatan,1,banyak player toxic,2026-01-05 21:06:58,
Syaeful Rokhman,1,"kalo update tuh sekalian benerin masalah jaringan nya dong moonton!! jaringan full tapi pas main malah ngeleg-ngeleg merah sampe 300mps, ini mah dapetnya ngerugiin pemain, ayo lah moonton perbaikin dong masalah jaringan, jangan tampilan mulu yang di bagusin, percuma dapetnya, padahal penyimpanan gw masih banyak banget grafik pun ga gw hd in semua tapi kok jaringan tetep merah terus, gajelas banget sama sistem jaringannya, udah gitu aja kritikan dari saya, terimakasih.",2026-01-05 21:05:43,
Muhammad Wahyu o.,1,"permainan sudah setting sama moonton, masak saya main 3 match dapatnya tim jelek dan kalah terus lagii, game settingan cokk",2026-01-05 21:04:41,
Rizki Cahaya,1,main rank bukan ketemu yg sesama rank malah lebih tinggi .dan di kasih tim ga jelas,2026-01-05 21:04:12,
Stok riper Stok riper,5,SANGAT MENGHIBURR!!!,2026-01-05 21:04:10,
Baahir Arshafali,5,bagus dari pada epep,2026-01-05 21:03:51,
Ibnu hasanudin,2,pembagian match tidak seimbang mending pindah ke game sebelah,2026-01-05 21:03:44,
Alek Utomo,2,tim nya ga sesuai di tim musuh sesuai peringkat di tim kita peringkat bawah,2026-01-05 21:03:26,
Falih,1,game pp lol dog game lag lol bocah,2026-01-05 21:02:38,
Sekayline Putri,1,tolong jangan setim sama epik gm klo kita dah legend,2026-01-05 21:01:30,
Franciskus Charles,2,"game nya bagus grafik nya juga bagus, hero nya keren, cuma kurang 1 hal, banyak pemain yang kurang paham dalam bermain jadi membuat tim menjadi tidak kompatibel dalam play game, kalau bisa ada cara bermain yg lebih baik dan pemahaman tentang build item untuk setiap hero yg ada",2026-01-05 21:01:02,
Arifin,5,bagus,2026-01-05 20:58:50,
Nesta Abizar,5,ok,2026-01-05 20:58:25,
chiyo otoya,5,"BENERIN MATCHMAKING NYAA!!!! YA ALLAH BARU INI BUDREG TUJUH KELILING SAMA GAMEEE, NYEBUT MULU (+NYA BIKIN INGET TUHAN MELULU TIAP MATCH)",2026-01-05 20:58:10,
Wahyu Nugraha,1,GAME DRAK SYSTEM GAME ANOMALI GAME LAPUK...... BANYAK SYSTEM YG GA GUNA ....SEMAKIN SINI MAKIN GA NYAMAN BERMAIN. .CUIIIIHHHHH,2026-01-05 20:58:04,
Attala Rafa,5,game nya seru,2026-01-05 20:57:48,
Uzen Uzen,1,game gk pernah menang kalah mulu developer sok gg padahal kroco buat player kalah karna ya off 1 minggu atau otw hapus,2026-01-05 20:56:09,
Muhammad Syaerozie,5,kasih menang lah monton capek kali akuu mana yg ngechet di biarin asuu,2026-01-05 20:55:21,
Kartini Yz,5,bagus,2026-01-05 20:55:18,
Ramadhan Rafa Susanto,1,gue main game ini gk bikin jago bikin setres tim gk jelas main kalah Mulu,2026-01-05 20:55:16,
justmarco,5,sangat direkomendasikan untuk menghilangkan stres(nambah depresi gw jur),2026-01-05 20:54:50,
Sepul Ged,1,mlbb game tidak adil dalam semuah hal error pembagian tim tidak adil,2026-01-05 20:54:13,
Hasim Adnan,5,terimakasih telah menghibur aku pensi min 😔,2026-01-05 20:53:59,
Yan Iyan,5,game favorite saya,2026-01-05 20:53:35,
Eka Rangga,1,game lawak lawan sama kawan ga seimbang,2026-01-05 20:52:48,
Yoga oga,5,"Game gak ngotak abis reset sesen dapet tim nya gak waras banget ajing renk gua di mentokin Mulu Ama lu biji gim gak ada otdk ,yok yg mau Mabar honor of king gas info info",2026-01-05 20:52:31,
M ghazi,1,karna dikasih tim drak sistem kasih win kek,2026-01-05 20:51:52,
MKS1102,3,"gamenya bagus, tapi tolong jgn berikan bot ketika game anda sepi dan juga jgn berikan player yg masih baru di server yg sudah lama (intinya buatkan server khusus player baru dan lama)",2026-01-05 20:51:43,
Lancel Lot,1,ayolah monoton kami udah lama main kok di kasi lostrek Mulu udah deviloper kikir pelit dan buat montoon jaringan aku bagus tapi kok malah lag padahal jaringan bagus.,2026-01-05 20:51:33,
NockRezz !!,2,untuk montoon mohon segera perbaiki masalah sinyalnya karena saya sangat terganggu dan mengakibatkan performa saya menurun,2026-01-05 20:51:28,
Danny Gana,1,yg mainin game ini gay/lesbian,2026-01-05 20:51:11,
Nafisah 1,1,"WOI MINIMAL KASIH FITUR GANTI AKUN OTAMATIS LAH,, AKUN KENA BAN GABISA GANTI AKUN LAIN",2026-01-05 20:51:04,
dzaky Firjan,1,game ampas kasih tim gk waras ge jadiny turun ke epic.,2026-01-05 20:50:47,
Mohamad Mayzun Ma'ruf,5,gamenya bagus...banyak pilihan hero yang bisa dipakai,2026-01-05 20:50:30,
Ara Aliyah,1,kenapa setiap mau naik rank contoh satu bintang lagi legend kenapa di kasih musuh yang sulit montoon,2026-01-05 20:50:25,
Adi Nugraha,1,"kecewa berat,login skrg malah pake verifikasi email segala,terasa mengganggu",2026-01-05 20:50:13,
Sivana Estu,1,dikasih tim epik abadi tapi musuhnya mantan mitik mikirr kids kalah mvp muluh sampai turun wr jgn donlod stress,2026-01-05 20:50:06,
Fynn Hound,1,"game degan musuh yang tak adil dan tak setara dengan pangkat Reng,dah ini game nga jelas bet dah monton2*",2026-01-05 20:50:02,
Alam Alam,5,gamseru sekali,2026-01-05 20:50:02,
Januri,4,ok,2026-01-05 20:50:00,
yudha Syah putra,1,monton monton gua main game ini kalah Mulu lu GK tau perasaan yg kalah 19 kali,2026-01-05 20:48:15,
Rendi Kurniawan,1,woy monton tolol ini sesoan sekarang lu kasih drak sistem ke gw mulu monton gw jadi males main Pengen udh main mlnya poke semua drak sistemnya,2026-01-05 20:47:56,
Muhammad Adrian,1,"matchmakingnya sampah bener, gila aja dikasih tim yang ga punya otak mulu",2026-01-05 20:47:18,
Bonjovi Uanai,3,tolong server nya tolong dibenerin dong muntun dari kemaren ngeleg Mulu tolong dibenerin ya,2026-01-05 20:46:50,
Anak Crpto,1,"kalok ngasih lawan yg ngotaklah, gua main solo tim nya gj beban kasih lawan satim yg seimbang la monton tolong lah perbaiki makin lama makin males main ml makin stress, bales ya awas lu kalok besok gua main rank kalah lagi, malem ini aja gua udah kalah 14 kali tun gendeng????",2026-01-05 20:46:25,
Feri Buah,1,game Tolol Ga pernah ws perna ls 10000 kali udah naik legend nurun epik lagi game haram buat game yg BNR Napa lolot,2026-01-05 20:45:37,
Muhammad Ikmal,1,kalah mulu,2026-01-05 20:45:37,
Ki Ra,1,ga bisa login☹️,2026-01-05 20:45:14,
Habibie Lionel,1,bugnya benerin moonton servernya sering ngebug,2026-01-05 20:45:07,
Sa Boy,1,benerin sistem kon,2026-01-05 20:43:16,
Reli Oxy,1,"server lu benerin dongo, masa rank dapet tim troll, 2026 server malah makin amburadul",2026-01-05 20:40:36,
Junaenah Jun,4,saya suka game nya tapi player nya suka buat sakit hati contoh yatim 🙂,2026-01-05 20:39:30,
Ruswandi Aditia,1,jangan di download cape gw main dapat tim yang ga bener sedangkan musuhnya jago pokonya bikin frustasi ini sementara gw rating kalo sistemnya bener dapat musuh sama kawan nya bagus gw rating 5 bintang,2026-01-05 20:38:38,
Khaira Talita,1,"ini bikin saya turun rank,saya sangatlah kecewa dengan game ini.",2026-01-05 20:38:16,
RakhaSyailendra,1,game gajelas,2026-01-05 20:38:10,
Hery Febrianto,5,biasanya kalo gini hp nya panas tapi ga siapa sangka game bagus,2026-01-05 20:37:34,
Budi Setiawan,3,"game nya bagus tapi, agak aneh tau?",2026-01-05 20:37:09,
Sakha jidan Zakiya fatih aqila,3,Delay banget gamenya montooon tolonglahhhh!!! GERAMMNYAA AKUU! jaringan jelek DELAY lagi pas main :(,2026-01-05 20:36:23,"Halo Kak,
Kami mohon maaf atas pengalaman kurang menyenangkan yang terjadi.
Bisa bantu kami dengan mengirimkan screenshot atau detail lebih lanjut lewat CS in-game?
Ini sangat membantu kami memperbaiki permainan.
Terima kasih!

Tim MLBB"
Panji anggun Adi luhung,1,monton gak punya otak.dapat drak sistem terus kenapa akun ku ko bisa ganti nama,2026-01-05 20:36:22,
Virli,5,bagus,2026-01-05 20:36:11,
Fazri Rozy,1,jaringan lag parah,2026-01-05 20:34:59,
Dika Syabani,1,ngasih tim gak ngotak,2026-01-05 20:32:09,
Duwik Ardiansah,1,gg lu kalo ngasih tim jago jago,2026-01-05 20:31:59,
25-126 Hafis Zamarul Misbah,1,"game ngak jelas,dapat tim yang ngak seimbang Ama musuh masak tim musuh kompak timku anomali mohon diperbaiki sekali lagi yah aku mohon banget heyy timnya gak jelas banget hoi ya ampun sampai kapan aku kalah teruss woi maaf aku KECEWAAAAA AKUUUUU HAPUUSSSS GAMEE SAAMPAAAAHHHH INIIIIIII",2026-01-05 20:31:35,
Rellzyy Rellzyy22,1,game kaga adil mush dapet tim yang GG sedangkan gua dapat tim yang jelek,2026-01-05 20:31:20,
Mhmmd Indra,1,APLIKASI LAGGG/SAMPAHHH,2026-01-05 20:29:14,
Angga Prima,1,apa²an ini saya ga pernah ngechit atau pake aplikasi pihak ketiga tapi akun saya di ban,2026-01-05 20:28:53,
rizky mario,1,grafik burik tim tidak adil tidak seru membosankann,2026-01-05 20:28:48,
Dafa,4,game nya bagus cuma player nya tolol etot etot ada drack sistem mending donwload talking tomen jerry,2026-01-05 20:27:18,
uciha obito,1,gemnya jelek,2026-01-05 20:27:13,
Peli Nona,1,game nya banyak lag tidak cocok ketemu tim drak sistem mulu,2026-01-05 20:27:06,
Dadi Wahdiana,5,"sumpah game ini bagus banget sebenernya aku udh lama banget main dri 2029 tpi baru bisa ku rating skrng ini keren game nya makin lama makin seru dan bagus tpi kekurangan nya cuma 1,belum bisa mendukung semua perangkat jdi nya lag dan delay,ini asik bahkan ini satu² nya game yg bisa buat aku pensi game lain dan main game ini doang walaupun bikin stres dengan para dark system tpi aku masih setia main mlbb dri dlu sampai skrng,terima kasih moonton sudah membuat game moba seseru ini",2026-01-05 20:26:54,
Arifin Saputra,1,banyak setingan masak level rendah ketemunya sama level tinggi klo main solo renk knp klo rank bawah ketemunya sama rank yg tinggi klo bgini terus gk baik monton,2026-01-05 20:25:25,
Asraf Gunawan,1,"maaf anak saya bermain game ini dia kalah terus, dia sampe jadi ODGJ dia katanya udah ngegendong tapi tim sana musuhnya ga adil tolong di baca anak saya masuk rsj karena moonton",2026-01-05 20:25:05,
Myyytha,5,makasi moonton seru gamenya tolong kalau ada player yang pakai akun tamu dihapus dong datanya seperti kredit skor rank dan data-data yang lain nya juga bug kalau masih ada harus dihilangkan /bug fix.,2026-01-05 20:24:16,
Davidhutabarat4345,1,izin hapus karna gak ngerti lagi jaringan lancar tapi gak bisa gerak,2026-01-05 20:24:09,
Denis Am,5,gamenya bagus walau banyak orang kata kasar mohon orang berkata kasar di ban karena gk cuma dewasa saja yang mainin anak kecil pun banyak jadi mohon di ban orang yang berkata kasar gw muak banyak kali yang ngomong kasar,2026-01-05 20:22:53,
Andriawan19,5,menghibur disela cape dengan Derama,2026-01-05 20:22:24,
"2Baqir Mujaddid Tafkiril Wahyi Kartum, S.Pd.",1,"dibanding game sebelah grafis masih jelek tetep aja jumping ama ngelag ajig, engine lu upgrade monton.. game kikir dari taun ke taun bukanya makin bagus malah ke taee",2026-01-05 20:21:48,
Yashi star. Ch.,1,apalah njir dark sistem Mulu,2026-01-05 20:20:58,
Anas,1,"Jangan di dowload, terlau banyak Bot",2026-01-05 20:20:58,
Imas Salamah15,1,"geme pilih kasih, rusak , aneh bahkan masih banyak yang pake secrip ,bug walaupun lumayan seru gamenya!!!!!",2026-01-05 20:20:26,
Fatih Altan,1,kayak tai mikir kalo menang menang terus nonton tai2,2026-01-05 20:20:23,
